Crop,Temperature,Rainfall,Humidity
Green gram,33,64,65
Soybean,35,66,67
Gram,33,37,70
Mustard,32,38,71
Soybean,33,63,75
Millet,32,26,66
Green gram,33,75,72
Sorghum,35,51,74
Sunflower,32,97,69
Maize,34,78,67
Cotton,33,51,68
Sunflower,33,120,69
Soybean,35,75,71
Soybean,33,63,74
Maize,34,57,73
Sunflower,33,104,70
Gram,34,44,73
Sorghum,33,56,66
Mustard,33,39,69
Wheat,34,77,74
Millet,33,27,70
Mustard,35,37,72
Sorghum,33,59,67
Groundnut,34,78,71
Black Gram,34,55,67
SugarCane,33,282,68
Cotton,35,59,67
Sunflower,33,85,70
Wheat,34,74,71
Green gram,32,75,65
Field Pea,32,46,75
Barley,32,46,66
Black Gram,35,46,68
Millet,32,33,67
Millet,34,27,72
Barley,32,39,70
Mustard,35,40,66
Black Gram,33,48,65
Maize,33,70,75
Cotton,33,61,75
Groundnut,34,84,70
Sunflower,32,44,65
Sorghum,34,42,73
Cotton,34,61,72
SugarCane,33,261,68
SugarCane,34,270,75
Wheat,32,61,66
Rap seed,32,39,68
Wheat,32,85,70
Sorghum,34,41,69
Sunflower,34,130,70
Groundnut,35,96,68
Cotton,32,64,71
Sorghum,35,41,65
Rice,34,144,67
Gram,35,42,71
Millet,32,26,68
Mustard,34,41,74
Barley,35,35,72
Wheat,34,69,71
Black Gram,32,58,67
Rap seed,33,41,66
SugarCane,35,263,72
SugarCane,33,254,65
Millet,34,30,71
Green gram,35,74,72
Soybean,35,68,75
Green gram,35,74,71
Green gram,32,60,74
Wheat,35,87,65
Soybean,34,63,67
Black Gram,34,42,69
Cotton,35,65,74
Black Gram,34,60,66
Rap seed,32,45,70
Field Pea,34,42,67
Rice,33,100,71
Sunflower,32,117,67
Field Pea,33,43,74
Sorghum,32,58,67
Mustard,34,45,65
Black Gram,35,46,65
Gram,34,39,67
Maize,35,72,75
Rice,34,141,67
Wheat,32,88,71
Groundnut,32,60,74
Cotton,34,70,68
Green gram,32,62,67
Groundnut,32,74,65
Sorghum,33,46,72
Millet,34,29,72
Mustard,34,36,70
Field Pea,34,59,71
Mustard,33,39,65
Barley,35,49,75
Millet,33,35,73
Sorghum,32,50,66
Field Pea,32,54,73
Barley,34,48,68
Mustard,32,44,74
Cotton,32,51,70
Groundnut,35,76,67
Groundnut,34,81,68
Groundnut,34,67,69
SugarCane,33,279,72
Sunflower,35,107,73
Soybean,32,73,66
Maize,34,56,73
Cotton,32,60,68
SugarCane,35,282,75
Gram,32,40,67
Gram,35,43,70
Soybean,34,63,69
Soybean,33,67,75
Sorghum,34,51,73
Sorghum,35,51,65
SugarCane,35,295,66
Rap seed,32,35,66
Millet,34,27,68
Cotton,33,64,73
Sorghum,33,52,71
Millet,35,26,72
Rice,32,108,67
Rice,34,131,75
Cotton,32,55,66
Sunflower,35,42,70
Field Pea,35,48,66
Green gram,32,78,71
Maize,33,78,75
Mustard,33,45,65
Sorghum,32,56,75
Field Pea,35,40,75
Green gram,32,77,68
Wheat,32,72,65
Wheat,34,71,67
SugarCane,34,260,68
Sorghum,34,60,69
Mustard,33,43,69
Groundnut,35,94,72
Barley,34,40,75
Rap seed,34,42,68
Sunflower,35,121,67
Mustard,33,40,75
Barley,34,45,71
Field Pea,35,46,68
Barley,35,45,72
Millet,32,35,67
Rice,32,118,70
SugarCane,34,256,71
Field Pea,33,58,67
Cotton,34,62,67
Barley,34,49,74
Cotton,32,51,66
Gram,34,37,70
Cotton,33,50,66
Sorghum,32,50,69
Barley,33,36,75
Black Gram,35,53,75
Barley,32,40,68
Green gram,32,76,68
Mustard,32,37,73
Black Gram,33,58,72
Gram,34,40,70
Maize,34,80,68
Gram,32,43,65
Mustard,33,40,73
Sorghum,34,42,65
Barley,33,42,73
Field Pea,33,56,68
Cotton,35,69,65
Sunflower,32,105,66
Soybean,33,69,69
Sorghum,32,54,70
Gram,32,39,68
Sunflower,35,137,70
Rice,34,121,68
Maize,33,61,67
Groundnut,35,95,75
Wheat,35,90,71
Sorghum,33,47,72
Maize,35,80,68
Gram,34,35,70
Cotton,35,50,66
SugarCane,35,293,71
Groundnut,35,100,71
Field Pea,34,46,67
Barley,35,50,70
Groundnut,34,75,71
Mustard,33,45,69
Rice,34,140,73
Millet,35,27,74
SugarCane,32,279,73
SugarCane,32,270,74
Barley,33,40,69
Groundnut,32,95,73
Gram,33,44,69
Maize,33,71,75
SugarCane,33,285,70
Green gram,33,64,72
Cotton,35,50,75
Mustard,35,35,75
Wheat,35,74,73
Black Gram,34,44,69
Millet,33,31,69
Barley,33,39,69
Rice,35,149,70
Barley,35,35,73
Cotton,35,53,69
Rice,34,124,75
Cotton,34,60,70
Gram,34,45,70
Mustard,35,42,71
Maize,34,78,72
Wheat,32,82,66
SugarCane,34,267,73
Sorghum,34,44,65
Mustard,33,45,67
Field Pea,32,47,67
SugarCane,33,263,73
Barley,33,41,68
Soybean,34,67,74
Groundnut,32,56,68
Millet,35,29,71
Sunflower,32,31,71
Green gram,33,73,69
Rice,32,107,66
Black Gram,35,57,74
Maize,32,65,72
Millet,32,28,67
Sunflower,32,112,67
Cotton,35,68,75
Mustard,35,38,66
Wheat,35,74,75
Soybean,35,65,69
Sunflower,32,112,75
Rap seed,34,41,72
Wheat,33,88,66
Millet,34,30,67
Sorghum,34,48,71
Mustard,32,41,66
Field Pea,35,51,67
Field Pea,35,42,66
Millet,32,29,69
Maize,32,73,70
Sorghum,32,42,68
Field Pea,35,45,69
Barley,32,47,66
Wheat,35,84,66
Black Gram,32,45,70
Soybean,35,73,74
Sorghum,34,55,67
Rice,33,108,72
Gram,32,40,68
Maize,35,71,68
Green gram,32,70,67
Cotton,33,59,75
Gram,35,40,73
Rice,32,146,72
Rice,32,142,65
Gram,32,39,67
Millet,34,31,75
Sunflower,32,70,69
Field Pea,33,53,65
Field Pea,34,58,68
Millet,33,25,72
Field Pea,32,60,69
SugarCane,35,262,74
Rap seed,34,39,65
Rap seed,34,39,73
Mustard,33,37,65
Gram,34,41,71
Wheat,35,72,71
Groundnut,33,85,71
Field Pea,32,53,66
Maize,34,69,75
Soybean,32,69,70
Cotton,35,70,66
Groundnut,33,77,69
Wheat,32,73,68
Groundnut,34,52,69
Groundnut,35,95,72
Rice,35,133,65
Maize,35,53,68
Soybean,32,63,74
Green gram,33,74,71
Sorghum,35,51,65
Millet,34,27,66
SugarCane,34,273,65
Cotton,35,55,66
Groundnut,35,58,72
Groundnut,32,59,71
Black Gram,34,49,71
Green gram,34,80,69
Gram,34,41,71
Cotton,33,53,68
Mustard,32,45,65
Maize,33,62,72
Wheat,34,90,68
Wheat,35,71,65
Green gram,32,76,68
Soybean,34,69,65
Mustard,32,45,68
Black Gram,33,59,69
Black Gram,35,43,65
Maize,32,72,68
Millet,34,25,70
Green gram,32,78,68
Cotton,33,54,70
Green gram,33,72,66
Rap seed,32,43,71
Field Pea,32,54,68
Cotton,35,70,65
Sorghum,35,42,65
Wheat,34,74,68
Field Pea,32,51,75
Field Pea,35,44,72
Black Gram,34,44,71
Rice,35,104,71
Mustard,33,39,69
Rap seed,33,41,67
Groundnut,33,89,66
Mustard,34,41,73
Cotton,35,50,71
Millet,33,35,71
Rap seed,32,39,65
Sorghum,33,49,75
Black Gram,35,46,66
Field Pea,32,42,70
Green gram,32,70,72
Sunflower,35,127,74
Sorghum,32,55,74
SugarCane,34,255,74
SugarCane,33,290,65
Gram,35,43,66
Field Pea,35,58,67
Rap seed,35,42,74
Field Pea,34,53,67
SugarCane,34,276,70
SugarCane,33,278,66
Rap seed,33,39,72
Gram,34,44,71
Green gram,32,73,66
Gram,34,35,71
Rap seed,34,45,66
Gram,32,35,75
Maize,35,66,67
SugarCane,34,297,65
Black Gram,33,44,71
Barley,32,44,65
Millet,33,31,73
Green gram,34,79,71
Cotton,34,55,72
Barley,35,41,73
Field Pea,33,41,75
SugarCane,34,254,73
Black Gram,34,42,71
Sunflower,35,88,75
Groundnut,35,76,72
Barley,32,36,66
Soybean,34,75,66
Sorghum,35,49,65
Black Gram,32,57,70
Soybean,35,70,66
Groundnut,35,52,68
Sorghum,33,53,67
Rice,35,102,66
Mustard,35,35,67
Barley,35,35,75
Soybean,33,71,75
Black Gram,34,45,65
Gram,33,44,66
Sorghum,32,53,65
Rap seed,35,41,65
Sunflower,32,147,66
Millet,32,30,70
Mustard,35,37,70
Field Pea,35,56,75
Rap seed,35,39,73
Cotton,32,58,67
Black Gram,33,48,70
SugarCane,35,293,75
Rice,32,142,73
Sunflower,33,132,75
Sorghum,33,53,71
Wheat,35,83,74
Rice,33,136,69
Rice,33,148,70
Maize,34,69,67
Field Pea,34,46,68
Gram,35,40,75
Wheat,35,67,66
Maize,32,80,68
Rice,33,130,69
SugarCane,35,300,67
Mustard,34,41,65
Sunflower,35,120,71
Maize,35,72,74
Mustard,32,45,71
Black Gram,34,41,73
Rice,35,144,65
Mustard,33,37,66
Gram,33,42,75
Maize,32,58,67
Barley,32,46,74
Gram,35,44,72
Green gram,33,65,73
Millet,33,32,72
Gram,35,38,71
Cotton,34,53,70
Millet,32,35,66
Rap seed,33,36,72
Sunflower,33,41,66
Field Pea,34,42,70
Gram,34,39,75
Sorghum,35,45,65
Sorghum,33,42,68
SugarCane,35,288,71
Maize,34,60,67
Rap seed,34,38,75
Gram,35,36,69
Sorghum,34,44,68
Rap seed,33,36,67
Black Gram,34,43,70
Soybean,33,63,65
Black Gram,33,57,70
Mustard,33,41,70
Sunflower,33,73,74
Wheat,34,88,70
Groundnut,34,79,71
Groundnut,32,72,73
Rap seed,32,37,65
Millet,33,35,75
Millet,35,32,72
Green gram,33,65,72
Wheat,35,64,74
Sorghum,32,42,66
Gram,35,45,72
Mustard,33,35,67
Field Pea,34,57,73
Rice,34,109,65
Mustard,33,37,66
Field Pea,35,52,69
Field Pea,32,41,66
Sunflower,32,148,75
Soybean,33,70,73
Rap seed,35,45,72
Wheat,33,65,73
Wheat,35,67,65
Mustard,34,37,72
Groundnut,33,59,68
Millet,33,32,71
Black Gram,35,44,66
Rap seed,32,45,67
Cotton,35,57,70
Soybean,33,68,67
Wheat,33,89,69
Rice,34,110,73
Gram,34,41,65
SugarCane,35,284,71
Rap seed,32,44,75
Rap seed,33,45,73
Barley,32,40,70
Field Pea,34,49,70
Mustard,32,37,66
Rice,35,131,71
Green gram,33,61,74
Green gram,33,64,67
Field Pea,32,44,73
Field Pea,33,59,72
Soybean,34,61,71
Rap seed,35,38,67
Rap seed,34,37,70
Rice,34,131,71
Cotton,33,70,72
Sorghum,33,45,73
Field Pea,32,57,72
Sunflower,33,48,71
Groundnut,32,82,74
SugarCane,32,254,70
Maize,35,61,72
SugarCane,32,261,68
Groundnut,33,76,71
Wheat,33,86,70
Rice,35,120,71
Mustard,35,45,72
SugarCane,34,250,68
Wheat,35,73,65
Mustard,34,37,71
Cotton,32,54,67
Millet,33,25,71
SugarCane,35,278,69
Gram,33,35,72
Rice,32,112,66
Wheat,33,78,65
Wheat,33,78,68
Rap seed,32,35,66
Maize,33,55,65
Millet,34,35,71
Maize,32,79,66
Rice,33,114,75
Groundnut,33,57,67
Maize,34,54,71
Sunflower,34,139,70
Maize,32,76,73
Wheat,35,81,73
Black Gram,35,52,73
Sunflower,34,146,67
Rice,34,134,67
Rice,33,147,67
Black Gram,32,46,75
Millet,33,30,65
Barley,33,45,65
Soybean,33,66,70
Gram,34,39,75
Soybean,32,73,67
Black Gram,35,41,75
Wheat,34,86,65
Gram,32,38,66
Gram,35,39,67
Soybean,33,74,74
Sunflower,34,88,68
Mustard,35,37,73
Rice,32,139,65
Black Gram,32,46,66
Sorghum,32,49,75
Field Pea,32,40,71
Soybean,32,63,70
Groundnut,35,78,68
Millet,35,25,73
Black Gram,33,59,71
Mustard,32,39,70
Barley,35,44,65
Gram,34,44,69
Maize,32,75,67
Maize,33,76,74
Wheat,35,89,71
Green gram,33,70,75
Mustard,32,42,65
SugarCane,32,291,69
Cotton,34,57,69
Mustard,34,36,73
Sunflower,35,92,74
Green gram,35,74,71
SugarCane,34,293,71
Soybean,33,70,71
Millet,32,29,69
Sorghum,32,59,69
Field Pea,35,60,72
Mustard,34,38,65
Gram,34,36,74
Green gram,32,76,72
Green gram,32,73,66
Sorghum,35,41,71
Gram,33,39,71
Maize,33,60,72
Soybean,34,65,75
Green gram,32,68,72
Barley,33,38,73
Maize,34,71,75
Millet,32,25,71
Rap seed,33,39,67
Sunflower,34,68,71
Maize,35,69,69
Green gram,33,67,67
Groundnut,32,79,66
Rice,34,133,71
Maize,34,70,71
Rap seed,32,39,71
Barley,33,41,72
Sunflower,33,63,65
Cotton,32,59,65
Rap seed,33,36,74
Millet,32,25,71
Wheat,34,89,69
Black Gram,32,60,71
Soybean,33,66,72
Gram,33,45,71
Soybean,33,60,69
Sunflower,33,136,69
Cotton,34,67,75
Millet,33,26,67
Rice,35,125,73
Millet,35,31,68
Maize,34,63,65
Groundnut,35,89,72
Rice,34,112,67
Field Pea,35,56,68
Millet,35,35,66
Soybean,35,66,75
Barley,33,38,74
Field Pea,34,60,67
Soybean,35,66,70
Gram,34,38,73
Cotton,34,55,74
Rap seed,34,37,69
Black Gram,33,54,68
Black Gram,32,60,66
Mustard,34,35,69
Field Pea,32,51,75
Field Pea,34,56,71
SugarCane,35,256,66
Field Pea,34,54,69
Millet,32,33,66
SugarCane,32,261,68
Maize,32,70,69
Rice,33,119,68
Rap seed,34,44,67
Mustard,33,41,67
Wheat,32,70,74
Millet,33,34,75
Sorghum,32,40,65
SugarCane,33,294,71
Wheat,33,78,71
Wheat,35,68,72
Black Gram,35,48,67
Sunflower,35,126,73
Wheat,33,87,69
Cotton,34,56,70
Soybean,34,61,67
Gram,34,36,71
Rap seed,34,39,66
SugarCane,34,256,70
Cotton,33,61,72
Barley,34,36,71
Cotton,32,56,67
Millet,35,28,68
Black Gram,33,56,65
Green gram,35,60,73
Sunflower,34,71,68
Gram,35,40,74
Sorghum,35,60,66
Rice,33,101,74
Wheat,33,88,75
Cotton,33,57,70
Field Pea,34,45,70
Rap seed,35,40,70
SugarCane,34,263,70
Sorghum,34,45,72
Wheat,34,66,70
Green gram,34,62,70
Green gram,32,73,72
Rap seed,34,45,66
Mustard,35,42,67
Wheat,33,62,75
Gram,32,37,74
Groundnut,35,68,68
Green gram,33,71,71
Rap seed,34,45,66
Soybean,32,63,68
Cotton,35,63,68
Field Pea,35,59,65
Green gram,35,64,68
Cotton,34,67,65
Green gram,32,71,73
Rice,32,146,67
Cotton,33,52,74
Rap seed,33,44,66
Gram,34,44,73
Soybean,34,71,65
Field Pea,35,53,66
Wheat,33,71,69
Soybean,33,72,72
Rap seed,35,35,66
Soybean,35,65,67
Maize,32,76,70
Groundnut,33,62,70
Mustard,34,40,67
Barley,35,44,73
Gram,35,37,71
Cotton,35,64,72
Soybean,32,72,72
SugarCane,33,279,69
Sorghum,34,54,67
Wheat,32,62,66
Cotton,32,64,66
Barley,34,38,71
Sorghum,33,54,70
Rap seed,35,42,73
Sunflower,32,32,66
Wheat,35,64,72
Maize,32,78,66
Green gram,34,75,71
Black Gram,32,48,67
Sunflower,32,35,69
Maize,33,53,67
Gram,35,35,71
Black Gram,34,50,67
Mustard,32,41,70
Sunflower,35,83,68
SugarCane,34,276,69
Sorghum,35,55,68
Soybean,32,70,65
Black Gram,33,47,75
Gram,32,35,67
Sorghum,33,59,65
Cotton,32,65,74
Wheat,35,68,69
Barley,33,50,70
Sorghum,34,48,67
Millet,32,31,72
Groundnut,32,93,69
Rap seed,33,44,74
Green gram,35,74,69
Mustard,34,35,69
Rap seed,32,38,67
Black Gram,35,52,67
Cotton,34,62,73
Field Pea,34,57,73
Gram,32,40,68
Maize,35,57,73
Sunflower,34,67,66
Black Gram,35,51,68
Rap seed,33,43,75
SugarCane,35,252,73
Green gram,34,78,65
Rice,32,149,67
Rice,32,120,74
Sorghum,32,46,69
Groundnut,33,65,74
Green gram,33,80,71
Soybean,32,61,68
Wheat,33,65,71
Sunflower,33,41,65
Wheat,35,60,66
Barley,34,38,72
Gram,32,43,65
SugarCane,34,297,67
Black Gram,34,50,74
Field Pea,35,55,72
SugarCane,32,263,68
Soybean,34,71,67
Wheat,34,86,71
Maize,34,78,68
SugarCane,34,291,73
SugarCane,35,272,66
Rice,33,138,71
Field Pea,34,56,72
Rap seed,34,38,71
Rap seed,34,35,75
SugarCane,35,254,68
Black Gram,33,50,66
Millet,34,29,67
SugarCane,32,284,71
Cotton,34,67,65
Field Pea,34,46,65
Sorghum,33,50,66
SugarCane,33,282,65
Soybean,33,74,65
Field Pea,33,53,69
Rice,32,121,66
Millet,35,30,69
Black Gram,35,43,73
Millet,32,33,69
Mustard,32,45,66
SugarCane,34,276,71
Rap seed,32,35,67
Soybean,34,61,73
Mustard,34,38,65
Sorghum,34,40,75
Sunflower,35,61,69
Field Pea,33,40,72
Black Gram,34,47,68
Mustard,33,38,69
Sorghum,32,50,67
Wheat,35,65,73
Sunflower,32,91,70
Groundnut,35,95,72
SugarCane,32,250,66
Rap seed,33,44,69
Cotton,34,66,72
Barley,34,37,69
SugarCane,35,258,66
Sunflower,35,93,65
Gram,33,45,67
Field Pea,35,56,75
Groundnut,35,52,68
Wheat,34,64,73
Groundnut,34,83,75
Cotton,35,61,67
Maize,35,69,72
Soybean,33,72,67
Mustard,35,35,72
Maize,34,80,69
Rap seed,34,44,71
Black Gram,35,56,71
Sunflower,32,141,73
Barley,35,50,74
Groundnut,32,73,66
Cotton,34,53,69
SugarCane,32,275,69
Rap seed,33,38,65
Mustard,33,37,70
Soybean,35,62,68
Rap seed,35,40,68
Cotton,35,68,65
SugarCane,34,291,71
Rice,34,106,72
Maize,33,63,72
Rice,34,128,65
Gram,35,40,73
Rap seed,33,39,75
Sorghum,33,50,65
Maize,35,61,69
Barley,35,44,67
Soybean,33,61,74
Mustard,35,39,71
Gram,35,40,67
Mustard,35,38,71
Cotton,35,62,68
Rap seed,32,37,67
Barley,32,49,65
Groundnut,35,67,73
Maize,34,67,71
Rap seed,32,42,67
Groundnut,33,50,71
Barley,34,42,73
Mustard,32,45,66
Groundnut,33,86,69
Gram,33,37,66
Rap seed,32,38,66
SugarCane,35,274,70
Black Gram,35,59,70
Rap seed,32,41,69
Green gram,34,71,73
Sorghum,32,57,71
SugarCane,34,251,68
Maize,35,67,73
Sunflower,32,63,71
Black Gram,35,53,66
Maize,35,64,69
Rap seed,33,36,71
Barley,35,41,65
Rap seed,35,35,67
Soybean,33,60,74
Rice,34,116,75
Mustard,32,43,73
Gram,32,37,70
Maize,32,68,74
Mustard,34,45,71
Green gram,32,78,71
Field Pea,33,56,72
Rap seed,33,35,67
Wheat,32,69,68
SugarCane,33,266,67
Green gram,33,80,74
Wheat,32,84,71
Black Gram,33,58,73
Gram,33,43,75
Sunflower,32,69,67
Field Pea,35,57,72
Cotton,33,69,74
Maize,35,53,75
Rap seed,35,44,69
Field Pea,35,54,71
Groundnut,32,83,69
Gram,33,39,72
Mustard,32,37,65
Sunflower,33,126,66
Barley,32,50,73
Sorghum,34,60,69
Gram,33,41,75
Wheat,35,74,74
SugarCane,35,296,70
Mustard,34,42,67
Mustard,33,44,67
Rice,35,115,75
Sunflower,33,97,68
Sunflower,33,31,70
Millet,33,32,70
Field Pea,35,49,68
Gram,32,39,65
SugarCane,34,292,66
SugarCane,33,287,74
Rice,35,148,65
Rice,33,110,70
Green gram,33,72,70
Sunflower,33,91,66
Black Gram,32,46,65
Field Pea,32,46,73
Sorghum,32,50,67
Black Gram,35,46,71
Mustard,35,40,75
Maize,34,53,65
Rice,35,134,65
Cotton,32,55,66
Field Pea,32,55,71
Mustard,32,41,70
Rap seed,34,42,65
Groundnut,34,67,70
Rap seed,34,41,65
Barley,34,38,65
Mustard,32,43,67
Black Gram,32,49,67
Soybean,34,71,67
Black Gram,33,55,74
Field Pea,33,45,69
Groundnut,33,58,69
SugarCane,35,251,72
Wheat,34,85,67
Green gram,35,69,73
Rice,35,110,73
Wheat,34,86,71
Soybean,34,67,68
Wheat,34,65,73
Mustard,34,39,69
Rap seed,33,36,65
Green gram,32,70,72
Field Pea,34,58,73
Gram,32,38,72
Sorghum,34,50,73
Maize,32,77,74
Green gram,33,61,70
Barley,34,45,65
Rap seed,34,43,71
